samples	het_score
['Sample4', 'Sample1', 'Sample0', 'Sample2', 'Sample3']	0.22038483851046473
['Sample4+Sample0+Sample2+Sample3', 'Sample1']	0.13101066130039454
['Sample0', 'Sample4+Sample1+Sample2+Sample3']	0.1516995068771864
['Sample4+Sample1+Sample0+Sample2', 'Sample3']	0.13132651342402754
['Sample1+Sample0+Sample2+Sample3', 'Sample4']	0.009888159910000633
['Sample4+Sample1+Sample0+Sample3', 'Sample2']	0.19261093401889573
['Sample4+Sample1', 'Sample0+Sample2+Sample3']	0.0839855801522389
['Sample4+Sample0+Sample3', 'Sample1+Sample2']	0.2454785047155442
['Sample2+Sample3', 'Sample4+Sample1+Sample0']	0.13021991746458492
['Sample4+Sample3', 'Sample1+Sample0+Sample2']	0.13245816393936374
['Sample1+Sample2+Sample3', 'Sample4+Sample0']	0.16657177716234464
['Sample1+Sample3', 'Sample4+Sample0+Sample2']	0.10291412379478734
['Sample4+Sample2+Sample3', 'Sample1+Sample0']	0.10669475333235721
['Sample4+Sample1+Sample2', 'Sample0+Sample3']	0.18066049530775882
['Sample0+Sample2', 'Sample4+Sample1+Sample3']	0.1116680731203387
['Sample1+Sample0+Sample3', 'Sample4+Sample2']	0.10443894070199326
