samples	het_score
['Sample0', 'Sample1', 'Sample3', 'Sample2', 'Sample4']	-0.00581557512646776
['Sample1+Sample3+Sample2+Sample4', 'Sample0']	-0.00023412651009621969
['Sample2', 'Sample0+Sample1+Sample3+Sample4']	0.004959970063449176
['Sample3', 'Sample0+Sample1+Sample2+Sample4']	0.01115116998984706
['Sample0+Sample1+Sample3+Sample2', 'Sample4']	0.005522581625327222
['Sample1', 'Sample0+Sample3+Sample2+Sample4']	-0.0036776107795193466
['Sample1+Sample4', 'Sample0+Sample3+Sample2']	0.0005258017729743271
['Sample2+Sample4', 'Sample0+Sample1+Sample3']	0.004081798861701769
['Sample0+Sample1+Sample4', 'Sample3+Sample2']	0.006319940687714786
['Sample0+Sample1+Sample2', 'Sample3+Sample4']	0.006511403979239864
['Sample1+Sample2+Sample4', 'Sample0+Sample3']	0.0008171863554962597
['Sample0+Sample3+Sample4', 'Sample1+Sample2']	0.00026575834710247393
['Sample0+Sample4', 'Sample1+Sample3+Sample2']	0.0016677138610616353
['Sample0+Sample2+Sample4', 'Sample1+Sample3']	0.0025410237533337807
['Sample3+Sample2+Sample4', 'Sample0+Sample1']	0.003443624570750029
['Sample1+Sample3+Sample4', 'Sample0+Sample2']	0.0017709518972988242
