samples	het_score
['Sample1', 'Sample2', 'Sample4', 'Sample0', 'Sample3']	-0.01316587467100198
['Sample1+Sample2+Sample4+Sample0', 'Sample3']	0.007770882890984359
['Sample1+Sample4+Sample0+Sample3', 'Sample2']	0.005387480870218882
['Sample0', 'Sample1+Sample2+Sample4+Sample3']	0.0022488620875921483
['Sample1', 'Sample2+Sample4+Sample0+Sample3']	-0.006541663129055834
['Sample1+Sample2+Sample0+Sample3', 'Sample4']	-0.009649611438268346
['Sample1+Sample4', 'Sample2+Sample0+Sample3']	-0.003799388167187931
['Sample1+Sample3', 'Sample2+Sample4+Sample0']	-0.0015829071912033226
['Sample2+Sample4', 'Sample1+Sample0+Sample3']	0.0004309192467159642
['Sample1+Sample2', 'Sample4+Sample0+Sample3']	-1.0233642684292032e-05
['Sample1+Sample4+Sample3', 'Sample2+Sample0']	9.11868084860707e-05
['Sample1+Sample2+Sample4', 'Sample0+Sample3']	0.0020124000869653456
['Sample2+Sample4+Sample3', 'Sample1+Sample0']	8.455262075115755e-05
['Sample1+Sample2+Sample3', 'Sample4+Sample0']	-0.0004825831927812141
['Sample4+Sample3', 'Sample1+Sample2+Sample0']	-0.0011637326991810336
['Sample2+Sample3', 'Sample1+Sample4+Sample0']	0.0037122589210605915
