samples	het_score
['Sample0', 'Sample1', 'Sample2', 'Sample4', 'Sample3']	-0.009826567685025867
['Sample0+Sample1+Sample2+Sample3', 'Sample4']	-0.003047038411948477
['Sample1', 'Sample0+Sample2+Sample4+Sample3']	-0.0015124558827772432
['Sample3', 'Sample0+Sample1+Sample2+Sample4']	-0.007512417641324163
['Sample1+Sample2+Sample4+Sample3', 'Sample0']	-0.00016333974905306404
['Sample2', 'Sample0+Sample1+Sample4+Sample3']	0.004736591351427917
['Sample1+Sample2+Sample3', 'Sample0+Sample4']	-0.0008699898075790489
['Sample1+Sample4', 'Sample0+Sample2+Sample3']	-0.0018099730840261323
['Sample0+Sample1+Sample3', 'Sample2+Sample4']	0.0007143838373119365
['Sample0+Sample4+Sample3', 'Sample1+Sample2']	0.001294649503598109
['Sample0+Sample2', 'Sample1+Sample4+Sample3']	-0.0020153180421472504
['Sample4+Sample3', 'Sample0+Sample1+Sample2']	-0.0041311969535288325
['Sample0+Sample1+Sample4', 'Sample2+Sample3']	-0.0012812984983923094
['Sample0+Sample3', 'Sample1+Sample2+Sample4']	7.214679674280966e-05
['Sample0+Sample1', 'Sample2+Sample4+Sample3']	-0.0009977639744086241
['Sample1+Sample3', 'Sample0+Sample2+Sample4']	-0.0036496481051940632
