samples	het_score
['Sample4', 'Sample0', 'Sample2', 'Sample1', 'Sample3']	-0.008486297895477472
['Sample4+Sample2+Sample1+Sample3', 'Sample0']	-0.003775116472390927
['Sample2', 'Sample4+Sample0+Sample1+Sample3']	-0.00013989602918167398
['Sample4+Sample0+Sample2+Sample3', 'Sample1']	0.0015284307433976632
['Sample4+Sample0+Sample2+Sample1', 'Sample3']	0.008218852831293127
['Sample4', 'Sample0+Sample2+Sample1+Sample3']	-0.004985520440932287
['Sample2+Sample1+Sample3', 'Sample4+Sample0']	-7.193202002033381e-05
['Sample0+Sample1+Sample3', 'Sample4+Sample2']	-0.0018223897941228165
['Sample0+Sample2+Sample1', 'Sample4+Sample3']	0.000123346786095097
['Sample4+Sample0+Sample3', 'Sample2+Sample1']	0.00046192204889257643
['Sample0+Sample2+Sample3', 'Sample4+Sample1']	-0.0017596354702977912
['Sample0+Sample2', 'Sample4+Sample1+Sample3']	-0.0012388916848692034
['Sample2+Sample3', 'Sample4+Sample0+Sample1']	0.002958738272603318
['Sample0+Sample3', 'Sample4+Sample2+Sample1']	7.005522270489397e-05
['Sample0+Sample1', 'Sample4+Sample2+Sample3']	-0.0013850480582920895
['Sample4+Sample0+Sample2', 'Sample1+Sample3']	0.0037958323807203605
