samples	het_score
['Sample0', 'Sample2', 'Sample3', 'Sample1', 'Sample4']	0.11445864517347713
['Sample2+Sample3+Sample1+Sample4', 'Sample0']	0.13517826799989371
['Sample0+Sample2+Sample3+Sample1', 'Sample4']	0.01648536681858197
['Sample3', 'Sample0+Sample2+Sample1+Sample4']	0.023086355193929473
['Sample0+Sample3+Sample1+Sample4', 'Sample2']	0.014470731115269274
['Sample0+Sample2+Sample3+Sample4', 'Sample1']	0.13172075414558332
['Sample0+Sample1+Sample4', 'Sample2+Sample3']	0.03135416343076923
['Sample0+Sample1', 'Sample2+Sample3+Sample4']	0.04862668232007641
['Sample3+Sample4', 'Sample0+Sample2+Sample1']	0.036899579260932805
['Sample0+Sample2+Sample4', 'Sample3+Sample1']	0.11709381589719844
['Sample2+Sample1+Sample4', 'Sample0+Sample3']	0.12358609202033122
['Sample1+Sample4', 'Sample0+Sample2+Sample3']	0.11804117705913125
['Sample0+Sample3+Sample4', 'Sample2+Sample1']	0.12202038487172895
['Sample0+Sample2', 'Sample3+Sample1+Sample4']	0.11651859285231678
['Sample0+Sample4', 'Sample2+Sample3+Sample1']	0.12361121288293311
['Sample0+Sample3+Sample1', 'Sample2+Sample4']	0.028279391774370197
