samples	het_score
['Sample2', 'Sample1', 'Sample3', 'Sample0', 'Sample4']	0.14895237031245803
['Sample2+Sample1+Sample0+Sample4', 'Sample3']	0.11811023792775122
['Sample0', 'Sample2+Sample1+Sample3+Sample4']	0.04992664552403542
['Sample2', 'Sample1+Sample3+Sample0+Sample4']	0.13258719023034846
['Sample4', 'Sample2+Sample1+Sample3+Sample0']	0.018427917061069415
['Sample2+Sample3+Sample0+Sample4', 'Sample1']	0.07796560071877556
['Sample3+Sample0+Sample4', 'Sample2+Sample1']	0.0968907508139917
['Sample2+Sample1+Sample3', 'Sample0+Sample4']	0.0706613044737449
['Sample2+Sample1+Sample4', 'Sample3+Sample0']	0.07507307433744073
['Sample2+Sample0+Sample4', 'Sample1+Sample3']	0.0822143223781679
['Sample2+Sample0', 'Sample1+Sample3+Sample4']	0.07728726125903108
['Sample2+Sample3', 'Sample1+Sample0+Sample4']	0.1098579198388159
['Sample2+Sample1+Sample0', 'Sample3+Sample4']	0.07428764694718315
['Sample1+Sample4', 'Sample2+Sample3+Sample0']	0.06469242759268809
['Sample1+Sample3+Sample0', 'Sample2+Sample4']	0.08628576671880606
['Sample2+Sample3+Sample4', 'Sample1+Sample0']	0.08024760048969821
